"CODEA-2171 {h1ra:6}";"1199";"Toledo";"a las de Micael Ferrero e de suos aparceros. E super esto por amor de sacar gresgo e trabajo inter";"se";"e que·s partiessen de judicio e de carreras viéronlo per bien que·l diessen Joán Petriz de Sola Mertiras e suos"
"CODEA-0220 {h1ra:3}";"1205";"—";"cantar I añal. E dio·l frag Diago sobr'esto I rocín qui valía XX morabedís en precio. E después que él";"se";"finó otorgólo e diolo so filio Roí Díaz de la Vega por techo, e por rama, e por tierra con"
"CODEA-2173 {h1ra:8}";"1219";"Toledo";"e poder de so poder. Testigua sobre sí la vendedor conombrada per cuanto dicho es en esta carta, e non";"se";"entorpó en ello segund fuero de Toledo en véndidas e en compras con marjahadarac. E yo la vendedor doña Cete"
"CODEA-2167 {h1ra:7}";"1221";"Toledo";"avolo don Gonzalvo Alguazil, en la cual labran los de Camarena de Suso. E do·l la orta del Granadal, que";"se";"tiene con la orta de la tesorería, que es fueras de los muros de Toledo, con entradas e con exidas"
"CODEA-0235 {h1ra:21}";"1223";"—";"rei don Alfonso, e Roy Gonzálvez mandó a Migael Mela que·l diessen fiadores de cuémo el rei mandasse e non";"se";"emendó, e cuand el rey mandó entrar las rafas de cueno per so portero Domingo Cornejo, otorgó el prior fre"
"CODEA-0235 {h1ra:23}";"1223";"—";"abría los fradres de Aguilar derecho, e la condessa doña <…> e<x>ido tres días a la nuestra puerta, e non";"se";"pudo veder con el abad don Gonzalvo, e non pudo aver derecho, e qui podría aver derecho de nós, e"
"CODEA-0235 {h1ra:28}";"1223";"—";"e mandó emendar, e Fernand Martínez, e a Petro Domínguez de Enestar en casa del arciprest en Pumar, e non";"se";"emendó, e querellámoslo a Petro Fernández el merino, e a don Semeno, e al rey don Alfonso, e mandolo per"
"CODEA-0235 {h1ra:29}";"1223";"—";"e mandolo per sos seellos emendar a Gonzalvo Migaélez de Ferrera, qui era merino, e a Migael Mela, e non";"se";"emendó, e sobr'esto mandólo el rey don Alfonso pesquerir a Roy Gonzálvez de Luzio, e al abad de <…> don"
"CODEA-0974 {h1ra:8}";"1225";"Huesca?";"de cabritos, e toda la décima éntegrament de casa nueva, sacando el coarto del obispo, e toda la décima que";"se";"plega en Marziella, que deve responder a la eglesia de Funes. Otrosí damos a ellos por milloría la viña de"
"CODEA-0974 {h1ra:15}";"1225";"Huesca?";"que l'omne del abat tenga la una clau e el homne de los racioneros la otra del granero en que";"se";"plegarán las décimas. E por testimoniança de todo esto nós don Joán Garceiç, dito abat, pusiemos nuestro siello en la"
"CODEA-0321 {h1ra:6}";"1227";"—";"para la casa del aver moveble, ie el otro que ficar";"se";"quisier venir para la casa tragan entrambos elas dos partes del aver moveble. Se per aventura quesier remanecer enna casa"
"CODEA-0321 {h1ra:7}";"1227";"—";"moveble, ie el otro que ficar se quisier venir para la casa tragan entrambos elas dos partes del aver moveble.";"Se";"per aventura quesier remanecer enna casa ténganna e lavren con fijos ie con mancebos, ie al so finamento del postremero"
"CODEA-0321 {h1ra:11}";"1227";"—";"den una pitancia al convento cada año, III tocinos, IV cántaras de vino, IV cuartas de trigo de Maiorga. Ie";"se";"per aventura vir el convento que no lo pode dar por coita ie por temp<e>stat non io demanden, ie ela"
"CODEA-0321 {h1ra:13}";"1227";"—";"por coita ie por temp<e>stat non io demanden, ie ela nuestra eredat fique sana ie quita, ne vendan ne empeñen.";"Se";"per aventura vendir o empeñar sen mandado del convento tólganja ie venga pora la casa. Ie sempre mantengan III bos,"
